               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.022222,            0.024658,           0.0019497,             0.98377,             0.96748,             0.98178,             0.81282,            0.013444,            0.018594,          0.00095233,           0.0063895,           0.0063895,           0.0063895
                 133,            0.022166,            0.024629,           0.0019384,             0.98385,             0.96747,             0.98177,             0.81319,            0.013417,            0.018557,          0.00095079,           0.0063432,           0.0063432,           0.0063432
                 134,            0.022128,            0.024748,           0.0019375,             0.98355,             0.96799,             0.98191,             0.81377,             0.01339,            0.018522,          0.00094954,           0.0062969,           0.0062969,           0.0062969
                 135,            0.022138,            0.024714,           0.0019296,             0.98439,             0.96741,             0.98201,             0.81434,            0.013365,            0.018487,          0.00094818,           0.0062505,           0.0062505,           0.0062505
                 136,            0.022143,             0.02471,           0.0019399,              0.9847,             0.96736,             0.98205,             0.81486,             0.01334,            0.018454,          0.00094687,            0.006204,            0.006204,            0.006204
                 137,            0.021996,            0.024572,           0.0019324,             0.98441,             0.96781,             0.98214,             0.81575,            0.013317,            0.018422,          0.00094556,           0.0061574,           0.0061574,           0.0061574
                 138,            0.022048,            0.024554,           0.0019308,              0.9841,             0.96833,             0.98218,             0.81603,            0.013294,            0.018391,          0.00094426,           0.0061107,           0.0061107,           0.0061107
                 139,            0.021995,            0.024471,           0.0019245,             0.98387,             0.96867,             0.98218,             0.81632,            0.013273,            0.018361,          0.00094302,            0.006064,            0.006064,            0.006064
                 140,            0.021989,            0.024466,           0.0019321,             0.98459,             0.96814,             0.98222,             0.81658,            0.013247,            0.018327,          0.00094174,           0.0060172,           0.0060172,           0.0060172
                 141,             0.02194,            0.024231,           0.0019285,              0.9845,             0.96845,             0.98227,             0.81687,            0.013221,            0.018292,          0.00094029,           0.0059704,           0.0059704,           0.0059704
                 142,            0.021849,            0.024456,           0.0019127,             0.98471,             0.96839,             0.98228,             0.81734,            0.013197,            0.018256,          0.00093921,           0.0059235,           0.0059235,           0.0059235
                 143,            0.021866,            0.024397,           0.0019262,             0.98475,             0.96855,             0.98228,             0.81783,            0.013169,            0.018221,           0.0009381,           0.0058766,           0.0058766,           0.0058766
                 144,            0.021827,            0.024257,           0.0019274,             0.98446,               0.969,             0.98234,             0.81812,            0.013145,            0.018189,          0.00093698,           0.0058296,           0.0058296,           0.0058296
                 145,            0.021816,            0.024346,           0.0019209,             0.98454,             0.96902,             0.98242,             0.81855,            0.013122,            0.018158,          0.00093578,           0.0057826,           0.0057826,           0.0057826
                 146,            0.021786,            0.024381,            0.001916,              0.9851,             0.96865,             0.98248,             0.81886,            0.013097,            0.018124,          0.00093455,           0.0057355,           0.0057355,           0.0057355
                 147,            0.021777,            0.024108,           0.0019167,             0.98529,             0.96863,             0.98252,             0.81954,            0.013075,            0.018092,          0.00093342,           0.0056884,           0.0056884,           0.0056884
                 148,            0.021696,            0.024189,           0.0018955,             0.98537,             0.96871,              0.9825,                0.82,            0.013052,            0.018062,          0.00093245,           0.0056413,           0.0056413,           0.0056413
                 149,            0.021646,            0.024129,           0.0018951,             0.98542,             0.96888,             0.98258,             0.82021,            0.013029,            0.018029,          0.00093121,           0.0055942,           0.0055942,           0.0055942
